puma,sex,age,educ,income,latino,black,asian,married
67606,0,24,8,0,1,0,0,0
61901,1,82,9,22400,0,0,0,0
61000,1,48,11,700,0,0,0,1
62802,1,49,12,48000,0,0,0,1
66900,0,52,13,60200,0,0,0,1
63002,0,20,8,0,1,0,0,0
61504,0,73,11,10300,0,0,0,1
63402,1,19,11,4600,0,0,0,0
68111,1,63,12,34110,0,0,1,0
64403,1,48,8,9900,1,0,0,1
67606,1,30,4,0,1,0,0,0
62602,0,47,6,2700,0,1,0,0
68112,0,59,12,82000,0,0,1,1
66104,0,62,9,21200,0,0,0,1
63402,1,24,9,10000,1,0,0,0
64200,1,72,12,23100,0,1,0,0
65424,0,26,7,35000,0,0,0,0
65417,1,57,8,35000,0,0,1,1
66104,1,49,16,49180,0,0,0,0
65401,0,55,13,70200,0,0,0,1
62108,0,70,9,29000,1,0,0,1
60200,0,30,9,40000,0,0,0,1
62409,0,64,11,23590,0,0,0,1
62601,1,84,5,5600,0,0,0,0
62712,0,55,13,70000,0,0,0,1
66125,0,48,13,149000,0,0,0,1
68112,0,68,14,71000,0,0,0,1
62002,1,83,11,6000,0,0,0,1
66900,0,24,11,12700,0,0,0,0
68003,0,67,9,8300,0,0,0,0
68001,1,40,7,0,1,0,0,1
66701,1,18,9,0,1,0,0,0
67606,1,58,14,50000,0,0,0,1
68104,1,31,14,46000,0,0,0,1
64405,0,39,12,15000,0,0,0,1
65408,0,25,11,9900,1,0,0,0
62708,0,51,9,42000,0,0,0,0
62802,1,34,8,0,1,0,0,1
60900,0,18,10,11000,0,0,0,1
64402,1,42,10,11000,0,0,0,1
67604,0,29,13,19300,0,0,0,0
61505,1,20,11,0,0,0,1,0
64000,1,43,10,14900,1,0,0,0
62402,0,39,14,80000,0,0,1,0
64100,1,78,15,152200,0,0,0,0
66200,0,59,9,22800,0,0,1,0
65418,1,87,9,0,0,1,0,1
62405,0,63,9,236000,0,0,0,1
63501,1,26,9,15000,1,0,0,0
62602,1,47,9,12000,0,0,0,1
68108,1,48,13,11500,0,0,0,1
68002,1,30,11,0,0,0,0,1
61505,1,29,13,0,1,0,0,1
66126,0,31,10,74600,0,0,0,0
62302,0,24,10,24000,1,0,0,1
62701,1,29,10,22000,0,0,1,1
63200,1,31,12,3200,0,0,0,0
65422,1,31,11,18300,0,1,0,1
66117,0,55,3,20000,1,0,0,0
61402,0,23,11,15600,0,0,0,0
67900,0,56,13,0,0,0,0,1
68101,1,23,11,7000,0,0,1,0
62407,1,28,12,30000,0,1,0,0
61401,0,21,11,0,0,0,1,0
63200,0,83,4,6000,0,1,0,1
62702,1,34,5,2300,1,0,0,1
61302,1,62,8,3400,0,0,1,1
66119,1,41,7,0,1,0,0,0
62602,1,38,8,39000,0,0,0,0
68001,1,38,3,0,1,0,0,1
66101,0,23,9,1100,0,0,0,0
64407,1,35,9,0,0,0,0,1
67900,0,40,9,40000,0,0,0,1
61101,1,43,9,0,0,0,0,0
62206,1,73,14,60200,0,0,0,0
67606,0,83,11,27000,0,0,0,0
66601,0,35,10,31000,1,0,0,1
65701,1,75,8,9900,0,0,0,0
68104,1,58,2,12000,1,0,0,1
63302,0,32,14,40000,0,0,0,0
62301,1,63,9,0,0,0,0,1
66801,0,41,11,22700,0,1,0,1
66103,1,26,10,14000,1,0,1,1
61102,1,40,3,10000,1,0,0,1
68200,1,54,11,15100,0,0,0,1
67501,0,21,13,35000,0,0,0,1
63502,0,53,11,26100,0,0,0,1
61503,1,35,13,58000,1,0,0,1
67400,1,28,9,11000,1,0,0,0
67601,0,40,11,50000,0,0,0,0
60300,1,35,13,22100,0,0,0,0
62802,0,36,11,8000,0,0,0,1
65419,1,53,13,55000,0,0,0,0
64300,0,45,9,14900,0,1,0,1
67200,1,41,13,85000,0,0,1,1
63100,1,52,8,15650,0,1,0,0
65500,0,62,14,62000,0,1,0,0
62204,1,93,8,18000,1,0,0,0
65408,1,38,11,47000,0,0,0,0
68104,0,42,9,25000,1,0,0,1
62409,0,34,14,110000,0,0,1,0
62403,1,71,14,25000,0,0,0,1
65200,0,64,7,19200,0,0,0,1
